Nebraska, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,20.9,-4.4
199112,31.5,6.2
199212,22.8,-2.5
199312,29.9,4.6
199412,29.0,3.7
199512,27.7,2.4
199612,22.8,-2.5
199712,29.4,4.1
199812,29.3,4.0
199912,32.5,7.2
200012,18.7,-6.6
200112,30.3,5.0
200212,31.8,6.5
200312,30.5,5.2
200412,30.8,5.5
200512,25.0,-0.3
200612,30.2,4.9
200712,22.0,-3.3
200812,21.3,-4.0
200912,18.6,-6.7
201012,26.1,0.8
201112,28.6,3.3
201212,27.6,2.3
201312,22.8,-2.5
