Nebraska, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,29.8,3.1
199102,36.4,9.7
199202,36.8,10.1
199302,19.1,-7.6
199402,21.0,-5.7
199502,33.5,6.8
199602,29.8,3.1
199702,29.4,2.7
199802,35.2,8.5
199902,37.0,10.3
200002,35.0,8.3
200102,22.0,-4.7
200202,31.8,5.1
200302,25.0,-1.7
200402,26.3,-0.4
200502,34.4,7.7
200602,28.1,1.4
200702,23.1,-3.6
200802,26.2,-0.5
200902,31.8,5.1
201002,23.0,-3.7
201102,24.5,-2.2
201202,29.3,2.6
201302,28.8,2.1
