Nebraska, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,39.2,3.4
199103,40.1,4.3
199203,41.9,6.1
199303,35.9,0.1
199403,40.8,5.0
199503,37.0,1.2
199603,31.0,-4.8
199703,40.2,4.4
199803,31.8,-4.0
199903,39.2,3.4
200003,41.9,6.1
200103,35.8,0.0
200203,30.1,-5.7
200303,38.7,2.9
200403,43.1,7.3
200503,39.4,3.6
200603,36.8,1.0
200703,45.6,9.8
200803,37.4,1.6
200903,37.4,1.6
201003,39.7,3.9
201103,37.1,1.3
201203,50.8,15.0
201303,34.8,-1.0
