Nevada, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,31.9,2.0
199101,29.7,-0.2
199201,30.8,0.9
199301,26.4,-3.5
199401,34.2,4.3
199501,34.1,4.2
199601,34.2,4.3
199701,32.0,2.1
199801,35.2,5.3
199901,34.5,4.6
200001,35.0,5.1
200101,29.7,-0.2
200201,30.8,0.9
200301,40.7,10.8
200401,30.4,0.5
200501,32.4,2.5
200601,34.1,4.2
200701,27.4,-2.5
200801,27.6,-2.3
200901,34.4,4.5
201001,32.9,3.0
201101,32.9,3.0
201201,35.0,5.1
201301,26.0,-3.9
