Nevada, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,65.4,1.5
199106,62.2,-1.7
199206,64.8,0.9
199306,61.0,-2.9
199406,67.9,4.0
199506,59.8,-4.1
199606,66.9,3.0
199706,64.0,0.1
199806,59.7,-4.2
199906,64.1,0.2
200006,68.1,4.2
200106,67.1,3.2
200206,67.6,3.7
200306,67.8,3.9
200406,67.0,3.1
200506,61.5,-2.4
200606,68.9,5.0
200706,67.6,3.7
200806,65.4,1.5
200906,62.4,-1.5
201006,64.8,0.9
201106,62.4,-1.5
201206,66.2,2.3
201306,68.6,4.7
