Nevada, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,69.9,-0.2
199108,71.3,1.2
199208,72.1,2.0
199308,68.6,-1.5
199408,73.3,3.2
199508,71.1,1.0
199608,72.5,2.4
199708,71.8,1.7
199808,73.2,3.1
199908,69.4,-0.7
200008,72.3,2.2
200108,74.2,4.1
200208,70.3,0.2
200308,72.4,2.3
200408,70.1,0.0
200508,71.4,1.3
200608,70.1,0.0
200708,72.9,2.8
200808,73.2,3.1
200908,70.2,0.1
201008,69.9,-0.2
201108,72.5,2.4
201208,74.2,4.1
201308,71.6,1.5
