New Hampshire, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,26.0,8.9
199101,17.6,0.5
199201,18.7,1.6
199301,21.0,3.9
199401,8.7,-8.4
199501,24.8,7.7
199601,17.8,0.7
199701,17.8,0.7
199801,23.2,6.1
199901,18.9,1.8
200001,16.9,-0.2
200101,18.5,1.4
200201,26.6,9.5
200301,11.5,-5.6
200401,10.3,-6.8
200501,16.0,-1.1
200601,26.4,9.3
200701,21.5,4.4
200801,22.0,4.9
200901,12.3,-4.8
201001,21.1,4.0
201101,16.8,-0.3
201201,22.7,5.6
201301,20.2,3.1
