New Hampshire, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,50.2,-2.4
199105,57.0,4.4
199205,52.5,-0.1
199305,54.1,1.5
199405,51.3,-1.3
199505,51.6,-1.0
199605,50.9,-1.7
199705,48.6,-4.0
199805,57.6,5.0
199905,55.4,2.8
200005,52.7,0.1
200105,55.2,2.6
200205,50.6,-2.0
200305,52.0,-0.6
200405,55.2,2.6
200505,48.6,-4.0
200605,53.7,1.1
200705,54.3,1.7
200805,51.4,-1.2
200905,53.3,0.7
201005,56.7,4.1
201105,55.8,3.2
201205,57.0,4.4
201305,54.9,2.3
