New Hampshire, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,67.0,0.5
199107,66.0,-0.5
199207,62.9,-3.6
199307,67.3,0.8
199407,69.9,3.4
199507,69.4,2.9
199607,65.8,-0.7
199707,65.7,-0.8
199807,66.9,0.4
199907,69.1,2.6
200007,63.7,-2.8
200107,64.3,-2.2
200207,67.5,1.0
200307,67.6,1.1
200407,65.9,-0.6
200507,68.7,2.2
200607,70.0,3.5
200707,65.6,-0.9
200807,68.3,1.8
200907,64.0,-2.5
201007,70.4,3.9
201107,69.1,2.6
201207,68.9,2.4
201307,70.6,4.1
