New Hampshire, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,66.6,2.5
199108,66.5,2.4
199208,63.3,-0.8
199308,66.4,2.3
199408,63.5,-0.6
199508,65.5,1.4
199608,65.7,1.6
199708,64.1,0.0
199808,66.3,2.2
199908,64.6,0.5
200008,63.7,-0.4
200108,68.6,4.5
200208,68.3,4.2
200308,67.9,3.8
200408,65.7,1.6
200508,67.4,3.3
200608,63.8,-0.3
200708,65.6,1.5
200808,63.8,-0.3
200908,67.0,2.9
201008,66.0,1.9
201108,66.2,2.1
201208,68.2,4.1
201308,64.8,0.7
