New Hampshire, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,56.7,0.2
199109,54.7,-1.8
199209,56.8,0.3
199309,56.3,-0.2
199409,55.4,-1.1
199509,54.0,-2.5
199609,58.2,1.7
199709,56.2,-0.3
199809,58.6,2.1
199909,61.2,4.7
200009,56.2,-0.3
200109,58.3,1.8
200209,61.2,4.7
200309,58.6,2.1
200409,58.5,2.0
200509,60.9,4.4
200609,56.9,0.4
200709,59.0,2.5
200809,58.4,1.9
200909,56.0,-0.5
201009,60.1,3.6
201109,61.0,4.5
201209,57.5,1.0
201309,57.4,0.9
