New Jersey, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,38.0,8.4
199101,31.6,2.0
199201,32.8,3.2
199301,35.1,5.5
199401,23.7,-5.9
199501,35.6,6.0
199601,28.8,-0.8
199701,30.3,0.7
199801,38.8,9.2
199901,33.1,3.5
200001,30.0,0.4
200101,29.8,0.2
200201,36.9,7.3
200301,26.4,-3.2
200401,24.6,-5.0
200501,30.1,0.5
200601,38.7,9.1
200701,36.7,7.1
200801,34.3,4.7
200901,26.9,-2.7
201001,31.2,1.6
201101,27.2,-2.4
201201,35.6,6.0
201301,33.9,4.3
