New Jersey, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,39.5,6.5
199112,37.5,4.5
199212,35.0,2.0
199312,33.8,0.8
199412,38.9,5.9
199512,29.8,-3.2
199612,38.4,5.4
199712,36.1,3.1
199812,40.0,7.0
199912,37.6,4.6
200012,29.0,-4.0
200112,41.1,8.1
200212,33.3,0.3
200312,35.5,2.5
200412,35.6,2.6
200512,32.5,-0.5
200612,41.7,8.7
200712,35.6,2.6
200812,36.6,3.6
200912,34.4,1.4
201012,30.8,-2.2
201112,40.5,7.5
201212,40.6,7.6
201312,36.0,3.0
