New Jersey, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,38.3,7.7
199102,37.3,6.7
199202,34.6,4.0
199302,28.4,-2.2
199402,28.4,-2.2
199502,28.8,-1.8
199602,32.0,1.4
199702,38.0,7.4
199802,39.1,8.5
199902,35.4,4.8
200002,35.3,4.7
200102,35.0,4.4
200202,38.4,7.8
200302,28.2,-2.4
200402,33.1,2.5
200502,34.2,3.6
200602,34.2,3.6
200702,27.1,-3.5
200802,35.2,4.6
200902,35.1,4.5
201002,31.1,0.5
201102,34.4,3.8
201202,38.9,8.3
201302,32.8,2.2
