New Jersey, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,74.4,0.9
199107,75.0,1.5
199207,72.5,-1.0
199307,76.2,2.7
199407,76.8,3.3
199507,76.1,2.6
199607,71.7,-1.8
199707,74.0,0.5
199807,74.4,0.9
199907,78.4,4.9
200007,71.0,-2.5
200107,71.1,-2.4
200207,76.1,2.6
200307,74.5,1.0
200407,73.2,-0.3
200507,76.0,2.5
200607,76.7,3.2
200707,73.7,0.2
200807,76.0,2.5
200907,72.0,-1.5
201007,78.3,4.8
201107,78.4,4.9
201207,77.8,4.3
201307,77.8,4.3
