New Jersey, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,72.6,1.0
199108,74.2,2.6
199208,69.4,-2.2
199308,73.6,2.0
199408,70.1,-1.5
199508,74.3,2.7
199608,71.9,0.3
199708,71.0,-0.6
199808,74.1,2.5
199908,73.8,2.2
200008,71.0,-0.6
200108,75.5,3.9
200208,75.8,4.2
200308,75.1,3.5
200408,72.4,0.8
200508,76.4,4.8
200608,74.2,2.6
200708,73.4,1.8
200808,71.3,-0.3
200908,74.9,3.3
201008,74.9,3.3
201108,73.5,1.9
201208,74.7,3.1
201308,71.4,-0.2
