New Mexico, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,54.2,0.1
199110,55.2,1.1
199210,56.4,2.3
199310,52.7,-1.4
199410,53.5,-0.6
199510,55.3,1.2
199610,53.6,-0.5
199710,53.7,-0.4
199810,55.4,1.3
199910,55.0,0.9
200010,53.9,-0.2
200110,56.8,2.7
200210,52.8,-1.3
200310,58.9,4.8
200410,54.2,0.1
200510,55.2,1.1
200610,53.6,-0.5
200710,56.5,2.4
200810,54.9,0.8
200910,52.5,-1.6
201010,56.7,2.6
201110,55.3,1.2
201210,56.1,2.0
201310,52.6,-1.5
