New Mexico, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,32.0,-2.3
199112,34.5,0.2
199212,32.6,-1.7
199312,35.4,1.1
199412,38.4,4.1
199512,37.5,3.2
199612,37.0,2.7
199712,31.3,-3.0
199812,36.9,2.6
199912,34.2,-0.1
200012,35.2,0.9
200112,34.7,0.4
200212,34.5,0.2
200312,36.8,2.5
200412,35.7,1.4
200512,36.8,2.5
200612,34.5,0.2
200712,35.0,0.7
200812,36.8,2.5
200912,31.6,-2.7
201012,40.4,6.1
201112,31.4,-2.9
201212,36.0,1.7
201312,34.5,0.2
