New Mexico, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,45.0,1.5
199103,43.0,-0.5
199203,45.3,1.8
199303,45.0,1.5
199403,46.0,2.5
199503,45.7,2.2
199603,43.4,-0.1
199703,47.4,3.9
199803,43.1,-0.4
199903,46.9,3.4
200003,45.7,2.2
200103,44.4,0.9
200203,43.6,0.1
200303,45.1,1.6
200403,49.7,6.2
200503,43.1,-0.4
200603,45.3,1.8
200703,47.6,4.1
200803,44.9,1.4
200903,47.2,3.7
201003,43.1,-0.4
201103,49.2,5.7
201203,47.8,4.3
201303,46.6,3.1
