New Mexico, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,74.5,5.3
199106,68.1,-1.1
199206,66.9,-2.3
199306,69.2,0.0
199406,73.7,4.5
199506,67.4,-1.8
199606,72.0,2.8
199706,68.5,-0.7
199806,69.9,0.7
199906,68.3,-0.9
200006,70.7,1.5
200106,71.5,2.3
200206,73.8,4.6
200306,69.2,0.0
200406,69.9,0.7
200506,69.8,0.6
200606,73.0,3.8
200706,69.8,0.6
200806,71.9,2.7
200906,69.0,-0.2
201006,72.6,3.4
201106,73.1,3.9
201206,74.2,5.0
201306,74.1,4.9
