New Mexico, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,71.2,-1.5
199107,70.6,-2.1
199207,71.5,-1.2
199307,73.6,0.9
199407,74.5,1.8
199507,72.6,-0.1
199607,73.8,1.1
199707,72.9,0.2
199807,74.3,1.6
199907,72.4,-0.3
200007,74.6,1.9
200107,75.2,2.5
200207,73.8,1.1
200307,76.8,4.1
200407,72.3,-0.4
200507,75.0,2.3
200607,74.6,1.9
200707,73.3,0.6
200807,72.0,-0.7
200907,74.8,2.1
201007,73.4,0.7
201107,76.6,3.9
201207,74.4,1.7
201307,73.0,0.3
