New Mexico, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,68.6,-2.3
199108,70.0,-0.9
199208,69.9,-1.0
199308,70.5,-0.4
199408,73.6,2.7
199508,73.7,2.8
199608,71.0,0.1
199708,71.6,0.7
199808,71.5,0.6
199908,71.1,0.2
200008,73.2,2.3
200108,71.5,0.6
200208,73.2,2.3
200308,73.5,2.6
200408,69.3,-1.6
200508,70.8,-0.1
200608,70.2,-0.7
200708,73.7,2.8
200808,71.0,0.1
200908,72.2,1.3
201008,72.3,1.4
201108,76.0,5.1
201208,73.9,3.0
201308,72.3,1.4
