Arkansas, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,54.7,4.9
199111,46.6,-3.2
199211,48.2,-1.6
199311,46.0,-3.8
199411,54.2,4.4
199511,47.8,-2.0
199611,46.6,-3.2
199711,47.1,-2.7
199811,53.7,3.9
199911,55.8,6.0
200011,46.8,-3.0
200111,55.0,5.2
200211,48.2,-1.6
200311,54.6,4.8
200411,54.1,4.3
200511,54.0,4.2
200611,51.5,1.7
200711,52.5,2.7
200811,48.9,-0.9
200911,54.0,4.2
201011,52.0,2.2
201111,53.4,3.6
201211,50.2,0.4
201311,47.5,-2.3
