Arkansas, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,49.3,6.2
199102,46.5,3.4
199202,48.6,5.5
199302,41.3,-1.8
199402,43.0,-0.1
199502,44.5,1.4
199602,44.4,1.3
199702,46.0,2.9
199802,46.5,3.4
199902,49.6,6.5
200002,49.1,6.0
200102,45.5,2.4
200202,42.3,-0.8
200302,40.1,-3.0
200402,40.6,-2.5
200502,47.5,4.4
200602,40.8,-2.3
200702,40.9,-2.2
200802,43.6,0.5
200902,47.3,4.2
201002,36.5,-6.6
201102,43.9,0.8
201202,47.2,4.1
201302,43.3,0.2
