Arkansas, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,78.0,1.5
199106,77.8,1.3
199206,73.9,-2.6
199306,76.4,-0.1
199406,78.8,2.3
199506,74.6,-1.9
199606,76.3,-0.2
199706,74.3,-2.2
199806,79.9,3.4
199906,76.5,0.0
200006,75.1,-1.4
200106,75.5,-1.0
200206,76.6,0.1
200306,73.1,-3.4
200406,75.8,-0.7
200506,77.5,1.0
200606,76.3,-0.2
200706,77.1,0.6
200806,77.7,1.2
200906,78.8,2.3
201006,81.6,5.1
201106,81.7,5.2
201206,78.0,1.5
201306,77.1,0.6
