Arkansas, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,79.8,-0.5
199107,80.6,0.3
199207,79.3,-1.0
199307,83.2,2.9
199407,78.1,-2.2
199507,80.0,-0.3
199607,79.2,-1.1
199707,81.3,1.0
199807,84.0,3.7
199907,81.6,1.3
200007,80.1,-0.2
200107,82.0,1.7
200207,80.6,0.3
200307,80.0,-0.3
200407,77.8,-2.5
200507,80.2,-0.1
200607,81.2,0.9
200707,77.6,-2.7
200807,80.5,0.2
200907,77.8,-2.5
201007,82.0,1.7
201107,84.7,4.4
201207,84.1,3.8
201307,78.0,-2.3
