Arkansas, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,75.4,2.6
199109,71.6,-1.2
199209,70.5,-2.3
199309,70.6,-2.2
199409,70.2,-2.6
199509,70.0,-2.8
199609,70.0,-2.8
199709,73.2,0.4
199809,77.9,5.1
199909,71.9,-0.9
200009,73.7,0.9
200109,70.9,-1.9
200209,75.2,2.4
200309,70.2,-2.6
200409,73.0,0.2
200509,77.0,4.2
200609,69.7,-3.1
200709,74.1,1.3
200809,71.1,-1.7
200909,71.3,-1.5
201009,74.8,2.0
201109,70.2,-2.6
201209,73.5,0.7
201309,75.4,2.6
