New York, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,30.3,10.5
199101,21.0,1.2
199201,22.2,2.4
199301,24.3,4.5
199401,10.6,-9.2
199501,27.2,7.4
199601,18.9,-0.9
199701,20.0,0.2
199801,27.5,7.7
199901,20.7,0.9
200001,19.2,-0.6
200101,22.4,2.6
200201,29.1,9.3
200301,14.6,-5.2
200401,12.8,-7.0
200501,18.6,-1.2
200601,30.1,10.3
200701,25.2,5.4
200801,25.9,6.1
200901,15.0,-4.8
201001,21.8,2.0
201101,18.6,-1.2
201201,26.0,6.2
201301,24.3,4.5
