New York, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,30.8,6.3
199112,27.5,3.0
199212,27.0,2.5
199312,24.5,0.0
199412,30.1,5.6
199512,20.8,-3.7
199612,31.9,7.4
199712,27.8,3.3
199812,32.8,8.3
199912,28.6,4.1
200012,19.4,-5.1
200112,33.4,8.9
200212,24.8,0.3
200312,27.5,3.0
200412,26.0,1.5
200512,23.8,-0.7
200612,34.4,9.9
200712,25.9,1.4
200812,26.5,2.0
200912,25.2,0.7
201012,23.1,-1.4
201112,31.8,7.3
201212,31.6,7.1
201312,25.4,0.9
