New York, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,26.7,6.0
199102,27.6,6.9
199202,23.9,3.2
199302,14.9,-5.8
199402,16.9,-3.8
199502,18.6,-2.1
199602,21.8,1.1
199702,27.3,6.6
199802,30.2,9.5
199902,27.1,6.4
200002,25.9,5.2
200102,24.7,4.0
200202,29.1,8.4
200302,18.3,-2.4
200402,21.6,0.9
200502,24.1,3.4
200602,24.7,4.0
200702,16.2,-4.5
200802,23.5,2.8
200902,24.7,4.0
201002,24.1,3.4
201102,21.8,1.1
201202,29.9,9.2
201302,23.3,2.6
