New York, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,68.2,0.0
199107,68.6,0.4
199207,64.6,-3.6
199307,69.6,1.4
199407,70.4,2.2
199507,70.6,2.4
199607,66.4,-1.8
199707,66.9,-1.3
199807,67.7,-0.5
199907,71.3,3.1
200007,64.8,-3.4
200107,65.9,-2.3
200207,70.0,1.8
200307,68.1,-0.1
200407,67.3,-0.9
200507,71.1,2.9
200607,71.0,2.8
200707,66.7,-1.5
200807,69.1,0.9
200907,65.2,-3.0
201007,71.4,3.2
201107,71.4,3.2
201207,71.4,3.2
201307,71.2,3.0
