New York, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,67.0,1.0
199108,68.2,2.2
199208,63.9,-2.1
199308,67.8,1.8
199408,64.5,-1.5
199508,68.7,2.7
199608,67.3,1.3
199708,64.9,-1.1
199808,68.0,2.0
199908,65.8,-0.2
200008,65.4,-0.6
200108,70.0,4.0
200208,69.0,3.0
200308,69.1,3.1
200408,65.8,-0.2
200508,70.1,4.1
200608,66.8,0.8
200708,67.8,1.8
200808,64.8,-1.2
200908,67.9,1.9
201008,68.2,2.2
201108,67.6,1.6
201208,68.4,2.4
201308,65.8,-0.2
