North Carolina, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,46.5,6.5
199101,41.7,1.7
199201,41.9,1.9
199301,43.6,3.6
199401,36.3,-3.7
199501,41.2,1.2
199601,38.3,-1.7
199701,40.5,0.5
199801,44.3,4.3
199901,45.0,5.0
200001,38.8,-1.2
200101,39.3,-0.7
200201,42.6,2.6
200301,36.4,-3.6
200401,37.9,-2.1
200501,43.0,3.0
200601,46.6,6.6
200701,44.2,4.2
200801,40.1,0.1
200901,38.7,-1.3
201001,36.6,-3.4
201101,36.2,-3.8
201201,43.9,3.9
201301,44.1,4.1
