North Carolina, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,47.3,5.8
199112,45.6,4.1
199212,41.9,0.4
199312,39.8,-1.7
199412,46.6,5.1
199512,38.3,-3.2
199612,44.4,2.9
199712,41.6,0.1
199812,47.0,5.5
199912,43.4,1.9
200012,35.1,-6.4
200112,48.0,6.5
200212,40.5,-1.0
200312,40.3,-1.2
200412,41.9,0.4
200512,40.0,-1.5
200612,47.1,5.6
200712,47.5,6.0
200812,46.1,4.6
200912,40.7,-0.8
201012,33.6,-7.9
201112,46.9,5.4
201212,47.6,6.1
201312,45.4,3.9
