North Carolina, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,73.7,0.1
199106,74.0,0.4
199206,70.5,-3.1
199306,74.4,0.8
199406,75.5,1.9
199506,72.2,-1.4
199606,73.9,0.3
199706,70.3,-3.3
199806,75.8,2.2
199906,72.4,-1.2
200006,75.0,1.4
200106,74.3,0.7
200206,75.2,1.6
200306,72.5,-1.1
200406,74.4,0.8
200506,73.5,-0.1
200606,73.1,-0.5
200706,74.1,0.5
200806,77.1,3.5
200906,75.1,1.5
201006,78.8,5.2
201106,77.0,3.4
201206,72.3,-1.3
201306,74.3,0.7
