North Dakota, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,43.4,-0.6
199110,39.6,-4.4
199210,43.7,-0.3
199310,41.8,-2.2
199410,46.6,2.6
199510,43.1,-0.9
199610,42.8,-1.2
199710,45.3,1.3
199810,45.4,1.4
199910,43.3,-0.7
200010,46.3,2.3
200110,42.2,-1.8
200210,34.7,-9.3
200310,47.9,3.9
200410,44.2,0.2
200510,45.4,1.4
200610,39.9,-4.1
200710,46.3,2.3
200810,44.4,0.4
200910,38.0,-6.0
201010,48.0,4.0
201110,48.4,4.4
201210,41.2,-2.8
201310,41.6,-2.4
