North Dakota, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,31.9,7.1
199103,30.1,5.3
199203,33.3,8.5
199303,28.2,3.4
199403,30.8,6.0
199503,24.9,0.1
199603,17.3,-7.5
199703,22.5,-2.3
199803,21.8,-3.0
199903,31.2,6.4
200003,35.1,10.3
200103,27.1,2.3
200203,16.3,-8.5
200303,22.8,-2.0
200403,30.4,5.6
200503,28.9,4.1
200603,27.5,2.7
200703,32.6,7.8
200803,26.5,1.7
200903,20.0,-4.8
201003,31.6,6.8
201103,19.2,-5.6
201203,40.6,15.8
201303,17.6,-7.2
