North Dakota, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,52.7,-1.0
199105,56.5,2.8
199205,57.0,3.3
199305,54.2,0.5
199405,57.3,3.6
199505,51.6,-2.1
199605,50.4,-3.3
199705,51.7,-2.0
199805,56.9,3.2
199905,54.3,0.6
200005,55.4,1.7
200105,56.0,2.3
200205,48.6,-5.1
200305,53.3,-0.4
200405,49.8,-3.9
200505,51.2,-2.5
200605,55.5,1.8
200705,55.8,2.1
200805,51.4,-2.3
200905,51.7,-2.0
201005,52.4,-1.3
201105,50.9,-2.8
201205,55.0,1.3
201305,53.4,-0.3
