North Dakota, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,67.9,-1.1
199107,68.8,-0.2
199207,61.8,-7.2
199307,62.4,-6.6
199407,65.7,-3.3
199507,67.6,-1.4
199607,66.6,-2.4
199707,68.7,-0.3
199807,70.2,1.2
199907,69.2,0.2
200007,69.7,0.7
200107,70.2,1.2
200207,72.1,3.1
200307,69.9,0.9
200407,67.1,-1.9
200507,69.8,0.8
200607,73.8,4.8
200707,73.1,4.1
200807,69.2,0.2
200907,64.6,-4.4
201007,68.8,-0.2
201107,71.1,2.1
201207,74.1,5.1
201307,68.3,-0.7
