Ohio, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,36.2,9.3
199101,28.2,1.3
199201,29.7,2.8
199301,32.2,5.3
199401,19.6,-7.3
199501,28.8,1.9
199601,25.3,-1.6
199701,25.9,-1.0
199801,35.6,8.7
199901,28.4,1.5
200001,26.2,-0.7
200101,27.5,0.6
200201,34.1,7.2
200301,21.5,-5.4
200401,23.5,-3.4
200501,29.4,2.5
200601,38.8,11.9
200701,33.0,6.1
200801,29.1,2.2
200901,20.8,-6.1
201001,25.0,-1.9
201101,23.5,-3.4
201201,32.1,5.2
201301,30.5,3.6
