Ohio, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,43.8,5.3
199103,42.3,3.8
199203,38.8,0.3
199303,35.8,-2.7
199403,37.9,-0.6
199503,41.6,3.1
199603,33.5,-5.0
199703,41.4,2.9
199803,41.8,3.3
199903,35.3,-3.2
200003,44.9,6.4
200103,36.3,-2.2
200203,39.2,0.7
200303,41.0,2.5
200403,42.6,4.1
200503,35.5,-3.0
200603,38.9,0.4
200703,43.9,5.4
200803,36.8,-1.7
200903,42.3,3.8
201003,42.2,3.7
201103,39.6,1.1
201203,52.2,13.7
201303,35.0,-3.5
