Ohio, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,49.8,0.6
199104,53.6,4.4
199204,49.5,0.3
199304,48.8,-0.4
199404,51.9,2.7
199504,48.2,-1.0
199604,48.3,-0.9
199704,46.2,-3.0
199804,51.2,2.0
199904,52.8,3.6
200004,49.7,0.5
200104,53.9,4.7
200204,52.6,3.4
200304,52.0,2.8
200404,51.0,1.8
200504,52.2,3.0
200604,54.3,5.1
200704,48.4,-0.8
200804,52.9,3.7
200904,51.1,1.9
201004,55.4,6.2
201104,52.1,2.9
201204,50.2,1.0
201304,50.6,1.4
