Ohio, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,68.0,-0.9
199106,72.0,3.1
199206,65.0,-3.9
199306,68.0,-0.9
199406,71.4,2.5
199506,70.5,1.6
199606,70.0,1.1
199706,68.3,-0.6
199806,69.1,0.2
199906,71.1,2.2
200006,69.8,0.9
200106,68.4,-0.5
200206,71.4,2.5
200306,66.0,-2.9
200406,67.9,-1.0
200506,72.6,3.7
200606,67.6,-1.3
200706,70.6,1.7
200806,70.8,1.9
200906,69.0,0.1
201006,72.2,3.3
201106,70.4,1.5
201206,70.3,1.4
201306,69.5,0.6
