Oklahoma, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,80.4,3.5
199106,77.5,0.6
199206,72.9,-4.0
199306,76.1,-0.8
199406,80.1,3.2
199506,73.6,-3.3
199606,77.5,0.6
199706,74.4,-2.5
199806,79.9,3.0
199906,75.1,-1.8
200006,74.0,-2.9
200106,76.8,-0.1
200206,77.2,0.3
200306,73.3,-3.6
200406,74.9,-2.0
200506,77.4,0.5
200606,77.9,1.0
200706,74.9,-2.0
200806,78.2,1.3
200906,79.1,2.2
201006,81.0,4.1
201106,83.4,6.5
201206,79.0,2.1
201306,78.1,1.2
