Oregon, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,24.4,-7.4
199112,34.3,2.5
199212,28.8,-3.0
199312,33.3,1.5
199412,31.3,-0.5
199512,34.2,2.4
199612,34.0,2.2
199712,32.3,0.5
199812,30.1,-1.7
199912,34.3,2.5
200012,33.5,1.7
200112,31.8,0.0
200212,35.4,3.6
200312,34.1,2.3
200412,35.5,3.7
200512,31.7,-0.1
200612,32.8,1.0
200712,30.5,-1.3
200812,30.2,-1.6
200912,28.5,-3.3
201012,33.4,1.6
201112,32.6,0.8
201212,31.5,-0.3
201312,29.7,-2.1
