Oregon, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,41.0,2.7
199103,37.0,-1.3
199203,44.6,6.3
199303,40.9,2.6
199403,42.3,4.0
199503,38.9,0.6
199603,40.6,2.3
199703,40.7,2.4
199803,39.9,1.6
199903,37.4,-0.9
200003,38.6,0.3
200103,41.3,3.0
200203,37.0,-1.3
200303,41.5,3.2
200403,44.2,5.9
200503,42.3,4.0
200603,36.4,-1.9
200703,43.5,5.2
200803,36.5,-1.8
200903,36.4,-1.9
201003,39.5,1.2
201103,37.9,-0.4
201203,38.3,0.0
201303,40.9,2.6
