Oregon, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,57.9,0.7
199106,53.9,-3.3
199206,61.8,4.6
199306,55.4,-1.8
199406,57.6,0.4
199506,56.2,-1.0
199606,57.8,0.6
199706,56.6,-0.6
199806,56.6,-0.6
199906,56.3,-0.9
200006,60.2,3.0
200106,56.5,-0.7
200206,59.9,2.7
200306,61.2,4.0
200406,59.5,2.3
200506,55.0,-2.2
200606,60.9,3.7
200706,58.6,1.4
200806,56.6,-0.6
200906,58.4,1.2
201006,55.6,-1.6
201106,54.9,-2.3
201206,55.5,-1.7
201306,59.4,2.2
