Oregon, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,67.4,2.6
199107,66.3,1.5
199207,64.4,-0.4
199307,57.6,-7.2
199407,68.1,3.3
199507,64.5,-0.3
199607,68.2,3.4
199707,64.0,-0.8
199807,68.8,4.0
199907,63.5,-1.3
200007,64.7,-0.1
200107,64.4,-0.4
200207,68.6,3.8
200307,70.1,5.3
200407,67.7,2.9
200507,67.4,2.6
200607,69.3,4.5
200707,69.6,4.8
200807,66.3,1.5
200907,68.0,3.2
201007,65.3,0.5
201107,62.7,-2.1
201207,66.3,1.5
201307,69.4,4.6
