Pennsylvania, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,34.2,8.9
199101,26.6,1.3
199201,28.2,2.9
199301,30.4,5.1
199401,17.8,-7.5
199501,29.8,4.5
199601,23.6,-1.7
199701,25.1,-0.2
199801,34.3,9.0
199901,27.0,1.7
200001,25.6,0.3
200101,26.1,0.8
200201,33.0,7.7
200301,20.6,-4.7
200401,20.0,-5.3
200501,26.3,1.0
200601,35.2,9.9
200701,31.3,6.0
200801,29.2,3.9
200901,20.5,-4.8
201001,25.7,0.4
201101,22.5,-2.8
201201,30.0,4.7
201301,29.0,3.7
