Pennsylvania, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,34.4,5.5
199112,32.7,3.8
199212,30.3,1.4
199312,28.8,-0.1
199412,34.6,5.7
199512,25.1,-3.8
199612,34.0,5.1
199712,32.1,3.2
199812,36.0,7.1
199912,32.4,3.5
200012,22.4,-6.5
200112,36.4,7.5
200212,27.8,-1.1
200312,30.7,1.8
200412,30.9,2.0
200512,26.4,-2.5
200612,37.3,8.4
200712,31.4,2.5
200812,30.7,1.8
200912,28.9,0.0
201012,25.4,-3.5
201112,35.3,6.4
201212,35.8,6.9
201312,30.8,1.9
