Pennsylvania, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,33.9,7.4
199102,32.4,5.9
199202,30.9,4.4
199302,23.5,-3.0
199402,24.1,-2.4
199502,23.9,-2.6
199602,27.0,0.5
199702,33.0,6.5
199802,35.8,9.3
199902,31.7,5.2
200002,31.6,5.1
200102,31.5,5.0
200202,33.9,7.4
200302,23.8,-2.7
200402,27.0,0.5
200502,30.1,3.6
200602,29.8,3.3
200702,20.1,-6.4
200802,27.7,1.2
200902,29.6,3.1
201002,25.8,-0.7
201102,28.6,2.1
201202,34.3,7.8
201302,27.4,0.9
