Pennsylvania, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,60.8,-0.9
199109,60.9,-0.8
199209,60.6,-1.1
199309,60.6,-1.1
199409,60.3,-1.4
199509,60.4,-1.3
199609,61.9,0.2
199709,60.4,-1.3
199809,64.7,3.0
199909,62.8,1.1
200009,60.6,-1.1
200109,60.4,-1.3
200209,64.9,3.2
200309,61.7,0.0
200409,64.1,2.4
200509,65.5,3.8
200609,60.1,-1.6
200709,64.4,2.7
200809,63.4,1.7
200909,61.4,-0.3
201009,63.6,1.9
201109,64.4,2.7
201209,62.0,0.3
201309,61.0,-0.7
