Rhode Island, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,35.1,7.9
199101,28.2,1.0
199201,29.4,2.2
199301,30.0,2.8
199401,21.3,-5.9
199501,34.1,6.9
199601,27.6,0.4
199701,28.3,1.1
199801,34.3,7.1
199901,29.6,2.4
200001,26.7,-0.5
200101,28.0,0.8
200201,34.7,7.5
200301,23.5,-3.7
200401,20.2,-7.0
200501,26.3,-0.9
200601,36.0,8.8
200701,32.8,5.6
200801,31.7,4.5
200901,23.4,-3.8
201001,28.4,1.2
201101,25.2,-2.0
201201,33.5,6.3
201301,30.4,3.2
