Rhode Island, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,44.8,3.3
199111,43.4,1.9
199211,41.1,-0.4
199311,42.7,1.2
199411,46.7,5.2
199511,39.9,-1.6
199611,38.7,-2.8
199711,40.2,-1.3
199811,42.6,1.1
199911,46.5,5.0
200011,42.2,0.7
200111,46.9,5.4
200211,41.6,0.1
200311,45.2,3.7
200411,42.5,1.0
200511,45.1,3.6
200611,47.7,6.2
200711,41.1,-0.4
200811,42.0,0.5
200911,47.8,6.3
201011,43.3,1.8
201111,47.8,6.3
201211,41.0,-0.5
201311,41.3,-0.2
