Rhode Island, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,54.2,-1.9
199105,61.9,5.8
199205,55.7,-0.4
199305,59.0,2.9
199405,55.0,-1.1
199505,55.4,-0.7
199605,56.0,-0.1
199705,54.0,-2.1
199805,59.8,3.7
199905,58.4,2.3
200005,57.2,1.1
200105,58.9,2.8
200205,55.3,-0.8
200305,54.0,-2.1
200405,58.7,2.6
200505,52.1,-4.0
200605,57.0,0.9
200705,59.0,2.9
200805,55.4,-0.7
200905,57.8,1.7
201005,60.9,4.8
201105,58.9,2.8
201205,60.6,4.5
201305,58.5,2.4
