Rhode Island, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,65.9,1.2
199106,67.0,2.3
199206,64.7,0.0
199306,66.3,1.6
199406,68.0,3.3
199506,66.2,1.5
199606,66.6,1.9
199706,66.0,1.3
199806,64.9,0.2
199906,68.6,3.9
200006,66.2,1.5
200106,68.9,4.2
200206,64.6,-0.1
200306,64.2,-0.5
200406,64.9,0.2
200506,68.1,3.4
200606,67.1,2.4
200706,66.5,1.8
200806,69.0,4.3
200906,63.4,-1.3
201006,68.9,4.2
201106,66.2,1.5
201206,65.7,1.0
201306,68.0,3.3
