Rhode Island, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,71.3,1.0
199107,71.6,1.3
199207,68.2,-2.1
199307,71.9,1.6
199407,74.7,4.4
199507,73.4,3.1
199607,69.4,-0.9
199707,71.2,0.9
199807,71.6,1.3
199907,74.4,4.1
200007,68.5,-1.8
200107,68.2,-2.1
200207,72.5,2.2
200307,71.7,1.4
200407,70.0,-0.3
200507,72.0,1.7
200607,74.2,3.9
200707,71.6,1.3
200807,73.9,3.6
200907,69.1,-1.2
201007,75.0,4.7
201107,73.8,3.5
201207,73.6,3.3
201307,76.4,6.1
