South Carolina, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,65.4,2.2
199110,63.5,0.3
199210,60.3,-2.9
199310,63.0,-0.2
199410,61.8,-1.4
199510,65.2,2.0
199610,62.1,-1.1
199710,63.1,-0.1
199810,65.2,2.0
199910,62.6,-0.6
200010,62.6,-0.6
200110,60.9,-2.3
200210,66.4,3.2
200310,63.2,0.0
200410,66.1,2.9
200510,65.2,2.0
200610,61.4,-1.8
200710,68.4,5.2
200810,61.3,-1.9
200910,62.2,-1.0
201010,64.4,1.2
201110,61.0,-2.2
201210,63.7,0.5
201310,64.2,1.0
