South Carolina, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,56.0,2.9
199111,51.2,-1.9
199211,54.7,1.6
199311,53.9,0.8
199411,57.4,4.3
199511,50.0,-3.1
199611,50.2,-2.9
199711,50.3,-2.8
199811,57.3,4.2
199911,57.3,4.2
200011,51.8,-1.3
200111,59.0,5.9
200211,51.8,-1.3
200311,58.6,5.5
200411,56.5,3.4
200511,55.7,2.6
200611,54.2,1.1
200711,53.6,0.5
200811,50.3,-2.8
200911,55.5,2.4
201011,54.0,0.9
201111,55.3,2.2
201211,50.7,-2.4
201311,51.5,-1.6
