South Carolina, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,50.8,5.2
199112,49.7,4.1
199212,45.4,-0.2
199312,44.1,-1.5
199412,49.8,4.2
199512,43.1,-2.5
199612,48.0,2.4
199712,45.6,0.0
199812,51.6,6.0
199912,46.7,1.1
200012,38.6,-7.0
200112,52.0,6.4
200212,44.2,-1.4
200312,43.0,-2.6
200412,45.6,0.0
200512,44.2,-1.4
200612,51.0,5.4
200712,52.1,6.5
200812,51.0,5.4
200912,44.9,-0.7
201012,38.3,-7.3
201112,50.7,5.1
201212,51.5,5.9
201312,49.9,4.3
