South Carolina, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,57.8,3.9
199103,56.6,2.7
199203,53.3,-0.6
199303,51.0,-2.9
199403,56.9,3.0
199503,56.8,2.9
199603,50.1,-3.8
199703,60.6,6.7
199803,52.7,-1.2
199903,51.3,-2.6
200003,57.8,3.9
200103,52.3,-1.6
200203,56.0,2.1
200303,57.0,3.1
200403,57.2,3.3
200503,52.4,-1.5
200603,54.4,0.5
200703,58.5,4.6
200803,54.7,0.8
200903,54.1,0.2
201003,52.2,-1.7
201103,55.8,1.9
201203,63.2,9.3
201303,48.4,-5.5
