South Carolina, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,70.3,0.0
199105,73.4,3.1
199205,66.6,-3.7
199305,70.0,-0.3
199405,67.6,-2.7
199505,71.9,1.6
199605,72.0,1.7
199705,66.2,-4.1
199805,72.9,2.6
199905,68.4,-1.9
200005,73.4,3.1
200105,70.7,0.4
200205,68.6,-1.7
200305,70.2,-0.1
200405,74.1,3.8
200505,67.5,-2.8
200605,68.8,-1.5
200705,69.1,-1.2
200805,69.0,-1.3
200905,70.9,0.6
201005,73.2,2.9
201105,71.3,1.0
201205,72.7,2.4
201305,67.9,-2.4
