South Carolina, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,81.2,1.3
199107,81.2,1.3
199207,81.4,1.5
199307,84.2,4.3
199407,79.3,-0.6
199507,81.1,1.2
199607,80.4,0.5
199707,80.3,0.4
199807,82.3,2.4
199907,80.9,1.0
200007,79.8,-0.1
200107,78.4,-1.5
200207,81.9,2.0
200307,79.0,-0.9
200407,80.3,0.4
200507,81.6,1.7
200607,80.5,0.6
200707,78.5,-1.4
200807,79.8,-0.1
200907,78.9,-1.0
201007,82.3,2.4
201107,82.8,2.9
201207,82.8,2.9
201307,78.8,-1.1
