South Carolina, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,74.1,0.4
199109,73.4,-0.3
199209,73.2,-0.5
199309,75.3,1.6
199409,71.4,-2.3
199509,72.0,-1.7
199609,72.8,-0.9
199709,73.5,-0.2
199809,75.3,1.6
199909,72.0,-1.7
200009,72.2,-1.5
200109,71.2,-2.5
200209,75.8,2.1
200309,72.4,-1.3
200409,73.2,-0.5
200509,77.1,3.4
200609,72.4,-1.3
200709,75.7,2.0
200809,73.8,0.1
200909,73.8,0.1
201009,76.6,2.9
201109,74.1,0.4
201209,73.6,-0.1
201309,73.5,-0.2
